username,created_at_as_str,uri,api,unique_resource_name,unique_resource_id
dreamer44_39,2022-06-03 17:04:20.980605,/task-page/14/3/1,ACCESSED TASK_PAGE,Type - ONBOARDING | Field - Mindset DevelopmentTrack - Beginning of Exploration | Vedant Panchal-Week 3 | Title - Dream College Life Realisation-Day 1,TaskMap|189
dreamer44_39,2022-06-03 17:05:02.857342,/,ACCESSED DASHBOARD,NONE,NONE
dreamer44_39,2022-06-03 17:05:14.725444,/situation/14/3/1,ACCESSED SITUATION,Type - ONBOARDING | Field - Mindset DevelopmentTrack - Beginning of Exploration | Vedant Panchal-Week 3 | Title - Dream College Life Realisation-Day 1,TaskMap|189
Ishika_82,2022-06-03 17:05:24.221211,/situation/14/2/3,ACCESSED SITUATION,Type - ONBOARDING | Field - Mindset DevelopmentTrack - Beginning of Exploration | Vedant Panchal-Week 2 | Title - Dream College Life Exploration-Day 3,TaskMap|187
Ishika_82,2022-06-03 17:05:24.484135,/,ACCESSED DASHBOARD,NONE,NONE
dreamer44_39,2022-06-03 17:05:28.097081,/task-page/14/3/1,ACCESSED TASK_PAGE,Type - ONBOARDING | Field - Mindset DevelopmentTrack - Beginning of Exploration | Vedant Panchal-Week 3 | Title - Dream College Life Realisation-Day 1,TaskMap|189
Ishika_82,2022-06-03 17:05:34.041456,/situation/14/2/2,ACCESSED SITUATION,Type - ONBOARDING | Field - Mindset DevelopmentTrack - Beginning of Exploration | Vedant Panchal-Week 2 | Title - Dream College Life Exploration-Day 2,TaskMap|199
Ishika_82,2022-06-03 17:05:34.188631,/task-page/14/2/2,ACCESSED TASK_PAGE,Type - ONBOARDING | Field - Mindset DevelopmentTrack - Beginning of Exploration | Vedant Panchal-Week 2 | Title - Dream College Life Exploration-Day 2,TaskMap|199
ECHRA_02__58,2022-06-03 17:05:53.771226,/,ACCESSED DASHBOARD,NONE,NONE
Ishika_82,2022-06-03 17:05:59.272275,/task-page/14/2/2,ACCESSED TASK_PAGE,Type - ONBOARDING | Field - Mindset DevelopmentTrack - Beginning of Exploration | Vedant Panchal-Week 2 | Title - Dream College Life Exploration-Day 2,TaskMap|199
dreamer44_39,2022-06-03 17:06:04.698959,/situation/14/3/1,ACCESSED SITUATION,Type - ONBOARDING | Field - Mindset DevelopmentTrack - Beginning of Exploration | Vedant Panchal-Week 3 | Title - Dream College Life Realisation-Day 1,TaskMap|189
Ishika_82,2022-06-03 17:06:18.115485,/,ACCESSED DASHBOARD,NONE,NONE
ECHRA_02__58,2022-06-03 17:06:18.570946,/situation/14/3/1,ACCESSED SITUATION,Type - ONBOARDING | Field - Mindset DevelopmentTrack - Beginning of Exploration | Vedant Panchal-Week 3 | Title - Dream College Life Realisation-Day 1,TaskMap|189
ECHRA_02__58,2022-06-03 17:06:18.688335,/task-page/14/3/1,ACCESSED TASK_PAGE,Type - ONBOARDING | Field - Mindset DevelopmentTrack - Beginning of Exploration | Vedant Panchal-Week 3 | Title - Dream College Life Realisation-Day 1,TaskMap|189
dreamer44_39,2022-06-03 17:06:19.053957,/situation/14/3/1,ACCESSED SITUATION,Type - ONBOARDING | Field - Mindset DevelopmentTrack - Beginning of Exploration | Vedant Panchal-Week 3 | Title - Dream College Life Realisation-Day 1,TaskMap|189
dreamer44_39,2022-06-03 17:06:20.122336,/task-page/14/3/1,ACCESSED TASK_PAGE,Type - ONBOARDING | Field - Mindset DevelopmentTrack - Beginning of Exploration | Vedant Panchal-Week 3 | Title - Dream College Life Realisation-Day 1,TaskMap|189
Ishika_82,2022-06-03 17:06:25.887433,/situation/14/2/2,ACCESSED SITUATION,Type - ONBOARDING | Field - Mindset DevelopmentTrack - Beginning of Exploration | Vedant Panchal-Week 2 | Title - Dream College Life Exploration-Day 2,TaskMap|199
Ishika_82,2022-06-03 17:06:26.054012,/task-page/14/2/2,ACCESSED TASK_PAGE,Type - ONBOARDING | Field - Mindset DevelopmentTrack - Beginning of Exploration | Vedant Panchal-Week 2 | Title - Dream College Life Exploration-Day 2,TaskMap|199
