id,created_at,username,uri,api,unique_resource_id
22083,2022-06-03 17:42:36.468252,jai_s_96,/situation/13/2/3,ACCESSED SITUATION,TaskMap|279
22084,2022-06-03 17:42:36.654533,jai_s_96,/task-page/13/2/3,ACCESSED TASK_PAGE,TaskMap|279
22085,2022-06-03 17:42:39.389688,jai_s_96,/api/mark_resource_visited/848,POSTED RESOURCE,Resource|848
22086,2022-06-03 17:42:39.736959,jai_s_96,/api/mark_resource_visited/849,POSTED RESOURCE,Resource|849
22087,2022-06-03 17:42:40.076621,jai_s_96,/api/mark_resource_visited/850,POSTED RESOURCE,Resource|850
22088,2022-06-03 17:42:40.404112,jai_s_96,/api/mark_resource_visited/851,POSTED RESOURCE,Resource|851
22089,2022-06-03 17:42:46.384055,jai_s_96,/api/upload_career_task_submissions/185,POSTED TASK_SUBMISSION,Action|185
22090,2022-06-03 17:42:46.566098,jai_s_96,/task-page/13/2/3,ACCESSED TASK_PAGE,TaskMap|279
22091,2022-06-03 17:42:51.222292,jai_s_96,/api/feedback/279,POSTED FEEDBACK_FOR_GOAL,TaskMap|279
22092,2022-06-03 17:42:51.333686,jai_s_96,/task-page/13/2/4,ACCESSED TASK_PAGE,TaskMap|280
22093,2022-06-03 17:42:54.020909,jai_s_96,/,ACCESSED DASHBOARD,NONE
22094,2022-06-03 17:43:01.916307,jai_s_96,/situation/13/2/4,ACCESSED SITUATION,TaskMap|280
22095,2022-06-03 17:43:02.078676,jai_s_96,/task-page/13/2/4,ACCESSED TASK_PAGE,TaskMap|280
22096,2022-06-03 17:43:05.033776,dreamer13_53,/api/feedback/231,POSTED FEEDBACK_FOR_GOAL,TaskMap|231
22097,2022-06-03 17:43:05.171753,dreamer13_53,/task-page/14/5/3,ACCESSED TASK_PAGE,TaskMap|232
22098,2022-06-03 17:44:34.513744,niteshmahawer1_49,/,ACCESSED DASHBOARD,NONE
22099,2022-06-03 17:46:51.356957,dreamer13_53,/api/feedback/232,POSTED FEEDBACK_FOR_GOAL,TaskMap|232
22100,2022-06-03 17:46:51.474389,dreamer13_53,/task-page/14/5/4,ACCESSED TASK_PAGE,TaskMap|233
22101,2022-06-03 17:47:02.856458,dreamer13_53,/,ACCESSED DASHBOARD,NONE
22102,2022-06-03 17:51:13.189250,adityan_47,/api/feedback/182,POSTED FEEDBACK_FOR_GOAL,TaskMap|182
22103,2022-06-03 17:51:13.271543,adityan_47,/task-page/14/1/2,ACCESSED TASK_PAGE,TaskMap|191
22104,2022-06-03 18:02:16.675642,dreamer44_39,/,ACCESSED DASHBOARD,NONE
22105,2022-06-03 18:02:21.327428,dreamer44_39,/situation/14/4/1,ACCESSED SITUATION,TaskMap|185
22106,2022-06-03 18:02:21.597204,dreamer44_39,/task-page/14/4/1,ACCESSED TASK_PAGE,TaskMap|185
22107,2022-06-03 18:07:09.983440,mohitverma0612_1,/,ACCESSED DASHBOARD,NONE
22108,2022-06-03 18:07:19.266361,mohitverma0612_1,/situation/10/1/1,ACCESSED SITUATION,TaskMap|325
